,titulos,empresa,todas_salario,todos_local,url
0,Analista de dados (BI) | TRACK&FIELD | São Paulo,TRACK & FIELD,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi-trackfield-sao-paulo/23917902/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Dados Júnior,PROFARMA,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados-junior/24404175/?origem_apply=busca-de-vagas&entrada_apply=direto
2,ANALISTA DE DADOS CRM,BALAROTI,A Combinar,São José dos Pinhais - PR (1),https://www.catho.com.br/vagas/analista-de-dados-crm/24402819/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Dados em Compras,SHOPEE BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-em-compras/24373599/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Estágio em Análise de Dados,ESTADÃO,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/estagio-em-analise-de-dados/24285922/?origem_apply=busca-de-vagas&entrada_apply=direto
5,ANALISTA DE DADOS - Start Immediately,GRABS,A Combinar,Mogi das Cruzes - SP (1),https://www.catho.com.br/vagas/analista-de-dados-start-immediately/24432483/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados Pleno (Híbrido),ACCENTURE,A Combinar,Uberlândia - MG (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-hibrido/24389464/?origem_apply=busca-de-vagas&entrada_apply=direto
7,ANALISTA DE DADOS SÊNIOR (área comercial),BRASILPREV,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-senior-area-comercial/24377283/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Performance/Dados para Google Ads,BRANDMONITOR,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-performance-dados-para-google-ads/24267641/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Inteligência em Dados (BI) - Júnior,TRINUS CO.,A Combinar,Goiania - GO (1),https://www.catho.com.br/vagas/analista-de-inteligencia-em-dados-bi-junior/24216635/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Estágio na área administrativa - Análise de dados,Empresa ConfidencialPor que?,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/estagio-na-area-administrativa-analise-de-dados/24284595/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Inteligência de Dados,SHOPEE BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-inteligencia-de-dados/24372787/?origem_apply=busca-de-vagas&entrada_apply=direto
